,text,Labels
1510,"Inn sab topics pe 9th class ke bachon ki bhi maharat hoti hai...

Sensible topics padhayein aur positivity failaayein ☝️",Not-Hope
1398,"Nhi ye sab pehle bhi hota tha, bas fark ye h ki ye krne wale logon ko jaan se mar diya jaata tha, aur agar aap Khajuraho ki murtiya dekhe to wahan bhi women saath me ye krte hue dikhenge.",Hope
2348,Inter-sex me reproduction process kaise hota hai?? Ya Nahi hota hai,Not-Hope
2682,Your all videos are very nice and i request to you Khan sir please try to improve voice quality.,Not-Hope
2465,Thanku so much sir... Aapne itne achhe se explain kiya...,Not-Hope
2418,Jaha Chaha waha raha,Not-Hope
2839,"Maine kahi pada tha ki Homosexual male ki brain female jaisa hota hai and homosexual female ka brain male jaisa hota hai, tabi wo log same gender par attract hote hai also ( male or female ka body jaise aalag aalag hota hai same time brain bhi aalag aalag hota hai )",Not-Hope
1237,Ab p0 rn section select krne me aasaani hogi. Thank you sir ❤️,Not-Hope
2443,Homosexual BHI natural hai chuuuu......,Hope
1190,"Some parts of this video are quite offensive 
Your sexuality is not your choice or disorder 
It is your inborn characteristic 
Aap 'generally' sabko heterosexual nahi keh sakte, homosexuality and heterosexuality are as natural as each other",Hope
560,Didi yea to hindi bolo yea English,Not-Hope
707,pyar ka mohalla me pyar ke alawa bht kuch milega,Not-Hope
1074,Mebhi ap par bht attractive huwa hu,Not-Hope
424, @Savage Diva  Bhai meri am dost h girl usko krwani h surgery so boys Jedi he rhti h khan hogi India m or kitna khrcha ayega btaye plzz help us,Not-Hope
647,Aur issi liye jaate log gb road aur tu jaayegi vaha tou log tera rate hee pochege tujhse,Not-Hope
2530,"Thank u sir.u made this video easy for us.plz make video on vulnerable group of India, race and ethnicity,immigration and placement",Not-Hope
1370,Aapki soch itna choti kyu ha. ??,Not-Hope
1421,Inter sex ka example dena sir,Not-Hope
1849, @Eren Yeager  kyun..teachers ka private life nahin hota kya teaching ke alawa ? Talk something which makes some sense and come up with a better punch line which doesn’t consist of hatred and homophobic comment.,Not-Hope
1005,"ससुरा मज़ा आ गया।
गुरु जी 😂",Not-Hope
620,Waah gaon ki tulna kothe kar di achchi soch h apki,Not-Hope
1385,Sir tab Transgender aur intersex logo ka baccha ho sakta hai?,Hope
553,Xcusme how can u say that me gav me  rhke aayi hu to kotho p b ja skti hu ....these peoples mentality about village somewhere scared me like what they think of about village.....i like her work but this line ....shame,Not-Hope
2846,Bhut shai,Not-Hope
1613,Aisa kuch nhi h ye hamare sath hi paida hota h thik h,Hope
998,Sir Tom girl bhi hotel hai,Not-Hope
1413, @Satish Jaiswal  Hindi me kya bolte hai use hijra ya hijri?,Not-Hope
2891,Wow suprb,Not-Hope
2932,Kon kon me kuch gadbad hai 😂😀,Not-Hope
3185,Gender is a different from SEX. Gender is psychology and sex is biological. Can you be more emphatic. And less general,Not-Hope
2112,🤣🤣 शाकाहारी भोजन अपनाए जय श्री राम,Not-Hope
440, @Hibjan Khan   kya h g man ki bat kahne me koi burai h kya yaha jo muh utha k bol Dia stupid .....tb to chhakke bhi. Bn jaye jo chahe.....unke man me aata h k ander se ladki hu ladka hu bn jate h .......aree ase kese aa jata h man me ...man h k kuchh aur h.....maine gali thodi di h jo. Ap ase bol rhe h had h,Hope
508, @RAHUL SHARMA  are unkle g mere pechy Kyu paddy ho ...jaky yh lecture kahi ar do tere kaam ayega...ar yh mere Bhai akash k naam p hai ...my name Iz kehkashaan ok..not akash,Not-Hope
589,"What do you mean by mai gaon me b reh k aayi hu to khote me b ja sakti hu?
Is  village a bad place?",Not-Hope
2063,"Mujhe lagta tha gay chaka hai
Kya gay hila sakta hai 🤔🤔🤔",Not-Hope
649,Ran* ko bas yhi dikhta hai,Not-Hope
2818,Agar koi ladka kisi kinnar se attract ho jaye to usko kya kahenge?,Not-Hope
1726," @LIMITED GAMER  Indian culture ke thekedar, mind your language",Not-Hope
1362,मुझे लगता है समलैंगिक होना एक मानसिक विकृति भी हो सकती है,Not-Hope
1426, @Noora Wilhelm  me gay hu aur mujhe apna ilaj krwana hai kya karna Hoga iske liye ?,Hope
2364,Jigra chahiye ye topic pdhane ke liye....salute hai sir ji Apko,Not-Hope
630,"Gav me rahne ka mtlb ye nhi ki aap kothe pe ja skte ho.....
Kothe sirf cities me hi hote hai 
Gav  bahut achhe hai cities se",Not-Hope
1554,Apki limit me reh k bat kr,Not-Hope
482, @Moni Mishra  10-12 lac cost of price ....smjhi free me thode hote h ..,Not-Hope
1288,Humein unhe samajhne ki jaroorat h. Ye koi bimari nhi h aur na kisi 1 insaan se dusre insaan ko fail skti h. To agar aap kisi aise insaan ko jaante h jo LGBT category ka h. To unse pyaar se पेश aana चाहिए,Hope
2738,U u insane❤️🙏,Not-Hope
2138,Achha aapko bohot pata hai??,Not-Hope
2234,"Well as far as I know transgender ke under vo log bhi aate hai jo log apna gender transfer krvate hai jese girl to trans male and boy to shem**e and yaha pr do or sexuality aati hai polysexul and pansexual
1 polysexul are known as for making relationship more then gay/lesbian and heterosexual like also with intersexual, trans etc. but not all types of gender
2 pansexual who can make relationship with all kind of gender (It's not mean they're easily attract to any one) 
or ek or baat agar koi homo hai iska mtlab je ni ki vo kisi bhi samesex vale se attract ho sakta hai jese agar aap heterosexual vale hr opposite gender se relation ni banate usme se frends bhi hote hae 😊",Not-Hope
2078,Gay logo me bhi 3 type hote hai woh nhi bataya apne 😂,Not-Hope
1783,Sir app bahut best tarike se samjhate hai toh aap ki har video main interest aaa jata hai,Not-Hope
856,Intersex wale male category me aayege ya female they are eligible for conceive,Not-Hope
1727," @kyara  usme thodi LGBTQ tha 🙄🙄😂😂
I am straight and I am proud of it 😏😏",Hope
530,"7:34
How can a policeman slap on the face of a man like that on public?
I think Policemen at there are pretty brutal",Hope
2262,Kiya hoga bhagwaan 😣,Not-Hope
49,Maniesh you are amazing 🤩-the moment you said’tumhe kese bulao’ it gave me goosebumps,Not-Hope
858,सर आपने कितनी बडी आसानी से समझा दिया लेकिन ये कोई मानसिक बिमारी नही है।🙏,Not-Hope
1072,ट्रांसजेंडर में स्त्री पुरुष दोनों हैं सर और किन्नर एक परंपरा है। सभी किन्नर ट्रांसजेंडर ही होते हैं शुरू में लेकिन सभी ट्रांसजेंडर किन्नर नहीं बनते।  ये एक बड़ा अंतर है। इस वर्ग विशेष की आवाज़  बनकर हम जागरूकता के लिए कार्य कर रहे हैं रेडियो ब्रॉडकास्ट के माध्यम से।। आज ये विषय अध्ययन में शामिल होना ज़रूरी हो गया है । खुशी हुई कि आपने शामिल किया।,Not-Hope
719,"mai gaao me rehke bhi Ayi hu, to kothe pe bhi jaa sakti hu.. what a lame logic",Not-Hope
1357,Gana hi na laeka leke se maneh hanimun naya kanun ban gael,Not-Hope
1536,"""Bisexual adha normal hota hai""
Pls correct your language
Mansik assuntallan, ya rog
Aise shbdo ka prayog na kare

Everyone is normal.",Hope
2407,Lesbian pregnent ho sakti hai ya nahi,Not-Hope
1927, @Alveera Chouhan  कहा से हो जी,Not-Hope
1689,अति सुन्दर भाई,Not-Hope
2279, @Niraj Kumar  apko un sabse jayada knowledge hai kya,Not-Hope
1491,Sir ne esa samjhaya ke pura samjh me aa gya 😁😁,Not-Hope
2389, @usha 🌅  bhai vo teacher h unko to is hindu muslim se dur rkho vo hindu ho to bhi hum utni respect denge or muslim honge to bhi usi trh pyar or respect denge 😇 unko respect unki teaching or knowledge ki wjh se dete h na ki unke religion ki wjh se 😇😇,Not-Hope
1488,Transgender 2type ke hohe hai,Not-Hope
3007, @Kuleshwar Sahu  suprmcort ka kanun bhgwan k kanun k samne kuch ni bro...,Not-Hope
2823,Lesbians ka Hindi,Not-Hope
1161,"Did this man just say, ye ek rog hai?",Hope
2292,"Agar koi ladhke se muhabbat karta hai to vo kya kare.
Usme bechare muhabbat karne vale ki kya galti .
🤔🤔🤔🤔🤔",Hope
1317,"Sab interest ka khel hai 😜😜

Khan sir repeatedly told",Not-Hope
2809,🙏🙏,Not-Hope
2447,Thank you sir hats off to you.. Bahot acchi tarah se samjhaya aapne 🙏 God bless you,Not-Hope
297,Ladke bhi ab ladke nahi banna chahte🤣🤣,Not-Hope
1373,Vhut hi achhhe se samjhaye sir aapne,Not-Hope
1474,Bihari,Not-Hope
958," @Dheeraj Soni  na mai majak nahi kar raha .
Mere gawn me bhi hai jiske sath bachpan me khela karta tha .
But bada hone par WO ladkiyon ke sath rahne laga WO transgender hai .
So mai samajh sakta hoon .mai majak nahi uda raha.🙏",Hope
1366,Sir maan lijiye koi ek part rahega penis or vagina tho kya kaha jayega. Transgender or intersex,Not-Hope
1395,Sir jo baad me operation sb krwa k  apna sex change krwate hai unhe kya bolte hai???,Not-Hope
2831,Merchant navy life  pr video banaye na sir ji,Not-Hope
349, @pariyo__ki_rani___pari  surjury krana pdega uske liye,Not-Hope
1814,Sir mere gav k pass inter sex hai 1 aadami.,Not-Hope
643,"Are bhai to tu bhi to English letters me hi to likh raha hai, tune Kaunsa teer maar liya😂 👇👇
इतना ही शौक है तो शुद्ध हिंदी में लिखा कर ना भाई, तू खुद अंग्रेजी रोमन लिपि में लिख रहा है |",Not-Hope
1255,Sab ko bhagwan ne hi janam diya h hame sab ki izat karni chahiye,Hope
1432,सर छक्के भी 2 तरह के होते हैं,Not-Hope
669,Kamavasna  se bache ke liye syad ek tarika hai itna busy raho ki dimag me aisa kuch vichar hi na aaye 1 story hai sabko pata h mera bhi dhayn chala jata h iske liye comment padhne walo se help chahta hu mujhse chat karo yar taki m busy rahu insta fb wts telegram koi bhi social media app me koi to mujhse bat karo aur reply mere video me aake dena taki muNse pata chal sake,Not-Hope
2574,Sir shemale kya hota hi,Not-Hope
2014,Ye btai k transgender k penis kam krta hy ya nhi yani ottha hy k nhi .,Not-Hope
1961,Koho interest nehi ayega,Not-Hope
2851,"If this would have been a choice we would have chose to be straight , bt thats how we are born .",Not-Hope
2618,Thank you sir for the video ♥️,Not-Hope
1608,0:40 ab kafi varieties aa gaye he🤣🤣🤣,Not-Hope
3032, @Kaintura ji  🏳️‍🌈🏳️‍🌈,Not-Hope
786, @Maniya Faridi  i am trans girl .... mujhe se pucho kya dard he asi life jine ka😭😭😭,Hope
2877,Koran mein yeh gunah hai. Yeh mental illness bataya gaya hai. Insaan shaadi baccha paida karne karne ke liye hi karta hai.,Not-Hope
140,bkwas ...... sab wo bachay hain jinki trbyt thik nahi ki gae bachpan main ya larkion main zydah rehne se hota hai bhai yeh .....indian just promote this think .....,Not-Hope
788,Hmm right bro,Not-Hope
1784,"Meanwhile Quam e Lut is be like :
       Hum bhi pele gye the,
        Tum bhi pele jawoge !!!!😭😭🙊🙊  🌈❌❌❌❌",Hope
2176,bohot confusion tha is me aj clear hua thank you sir.,Not-Hope
714,😁🤣🤣 Muslim bol hi diya na,Not-Hope
1518,Inter sex me penish va vagena dono hote hai kaise sambhav hai,Not-Hope
1776,Ye sab jante hai.,Not-Hope
2925,"Sir jo gay ka partner hota hai wo to proper Mard hota hai
..usey kya kehte hain",Not-Hope
1352,Khan Sir matlab  dusro Google .,Not-Hope
1657,Oor tumhare bare me v batao lairke se sadhi krni hai ki lerki se,Not-Hope
3168,Koi problem nhi 😮😰i am socked ki aap etna sab kise padh lete ho,Not-Hope
618,"Non sense, gb road jaaoge tu loog yahi bolenge Naya maal aaya hai, aur kya bolenge",Not-Hope
406, @Karan Kumar  lol bolna sikhle  pehle tujhse  jyada akal hai mere pass bro,Not-Hope
1894,Sir trans gender or inter sex kis se attract hote hai ye bta skte h sir,Not-Hope
1987,Khan sir bohot Accha pada te hai best teacher in the world thank you sir,Not-Hope
1231," @lol man  ha wahi to 
Badtamizi krte h 
Pyar s de koi to lena chy 
Bt wo gundagardi krte h",Not-Hope
1313,"Mera ek friend ka ladki jaise pura feeling, character aur rahta bhi ladki ke sath hi hai aur uska chal dhal bhi ladki jaisa hai toh usko kya bolenge . Sir .ya koi mujhe batao",Not-Hope
3060,Kaise,Not-Hope
497,Gaurav ❤,Hope
342, @Savage Diva  mene kab bola mera kam h .....bolne ka haq b cheenloge kya had me  raho apni mind ur bsns.... Ohk,Not-Hope
2084,Kya,Not-Hope
2698,"Medically log transition kar sakte hai , uske like top surgery aur bottom surgery hota hai . Agar ek ladke ko lagta hai vah andar ladki hai to vah bahar se bhi ban sakta hai , uske liye surgery kara sakta hai",Not-Hope
782,comment karnay se phayalay aashay say research karay (lgbt) kay baramay,Hope
2662,khan sir bano bhart k musalmano  . atank vadi mat bano,Not-Hope
303,"Koi ladka ladki ban sakta h but kinner ni 

Kinner god gift h",Hope
2624,Mujhe feeling aa gayi🔥,Not-Hope
1912,"Thanks sir🙏😂

Humare schl teacher to kuchh achhe se nahi padhate h😒!! 
They r too afraid to teach all these things!! But these are very necessary!! 

Thanks a lot sir..kitna bhi mushkil topic ho..aap chutkiyon me samjha dete ho👍🏻🔥",Not-Hope
664,कोठों को हेय की दृष्टि से देखा जाता है लेकिन जो बड़ा रैकेट चल रहा है आजकल मसाज पार्लर के नाम पर और इसके अलावा कईं हाई प्रोफाइल वेश्या हैं उन तक किसी की पहुंच नहीं है. कोठे यूहीं अकेला बदनाम हैं.,Not-Hope
1877,Kuch vi,Not-Hope
2601,Sorry! Maine bohot se aise logon ka mazak banaya h😔.. ab kabhi mazak nhi banaunga,Not-Hope
1651,Attract na ho to koi gadbad nai hoti sir essay thoda sahi words bole sir plzzzzz,Hope
3186,Homosexuall is not a illness ok or it's not a mantal problem ok,Not-Hope
84,भाई लोगो आवाज का क्या होता होगा?🙄,Not-Hope
2369,Kya baat Kahi sir,Not-Hope
941,सर आपके हावभाव 😂😂👌👌,Not-Hope
961,"U look like same as we are isn't it 
Be happy love u ❤️❤️❤️❤️",Not-Hope
841,kyu tujhe lena hai ?,Not-Hope
1837, @LGBT INDIA  bimar ?? Maine kb bola bimar ?...kya bol rhe ho ..smj ni aya,Not-Hope
2542,Sir...inter sex wale kai pass agar do ling hoto hai 'penis' or 'vagina' tho vo toilet kisse karta hai penis sai ya vagina sai..,Not-Hope
3104,Murder karne ka feeling bhi god made hai?,Not-Hope
1467,Inter sex ke baare me pahilibaar padha maine 🙏🙏😂,Not-Hope
290,Gaurav nahi gauri,Not-Hope
2053,Sirjee..agar 2 women friends hain..aur hamesha saath rehti hai to aap to inko ne lesbian tag kar denge....,Not-Hope
1660, @Debajyoti Saha  yea,Not-Hope
604,Humare bhasa mai.. Didi apko mera sadar pranam 🙏,Not-Hope
2184,Bahut badhiya teacher ho aap sir♥️🔥,Not-Hope
916,Iska भी koi ilag होता hoga na l g ka,Hope
1437,Boht acha,Not-Hope
1886,Tq sir but bisexual boy normal girl se sadi kar skta hai kya?,Not-Hope
1099,Mai aapka video dekh raha hu jo mere liye pahla video hai .Or sir jo aap itne achhe tarike se explain kiye ho ...mai to fan ho gaya aapka .,Not-Hope
1088,Sir ji kinnar logo ki samajh mai bhot power rehta hai bol mat dena ki wo gareeb rehte hai or unki ijjat nhi hai samajh. Hamare yaha bacho ko ashirwaad dilaya jata hai unse kyoki apne yaha ye manyata hai ki unka ashirwaad kabhi khali nhi jata. Or gareeb kinnar mene aaj tak nhi dekha unhe bhot paisa milta hai.,Hope
2249,Wah bete moj kardi😯😯🤯,Not-Hope
1494,"Yeh pura normal hota hain.
For e.g; Sikhandi in Mahabharat.
Another one is Babri & Babur both are bisexual.",Hope
821,Gajab Khan sir aap bhut axxe se samjhate h,Not-Hope
2638,Homo sexual hona Disorder nahi hai ye!!!,Not-Hope
1000,Ya fir Esme hormone ko koi rol hota hai sir please full nolage digia,Not-Hope
3031,Aapka Samzane ka tarika bohot hi pasand aya. God Bless You !🙏,Not-Hope
18,AP batate hi kion ho Apne bare me Jin's kion badalte ho normaly rahu koi kion hanse ga AP par,Hope
2046,Guptan 🎃,Not-Hope
1125,"Khan sir Tumnet. TOM BOY  ke liye Bata Diya per TOM GIRI ke liye Kuchh Nahin Kaha. Yah bhi to Hota Hai ,Magar yah jahir Mein Dikhta Nahin. Vaise TOM GIRI pakad Mein Nahin Aata. Yah pura psychological disorder hai Jo kapal mein Amil Danga Hota Hai vahan se control Hota Hai vahan se control Hota Hai.",Not-Hope
3016,Mujhe ye saari bimari h mukhe sab pasand h,Not-Hope
2670,"Sir plz explain in ur next video about the complete explanation of Asexual, Demisexual, Pansexual, Bicurious and Aromantic......",Not-Hope
2917,"Well, it's true though",Not-Hope
1446, @USA vlogger  ofcourse bhai,Not-Hope
1777,Sir please aap wapas aa jaiye YouTube pe .,Not-Hope
1650,Chidayenge  sir us insaan ko tease karenge use,Not-Hope
1873,Lesbian kiya hota 🙄🙄🙄🙄,Not-Hope
2383,4:05 mitha 😅😂😂😂😂,Not-Hope
1957,Homosexual apas me talwarbazi krte honge😂😂😂😂 lesbian ungalbazi😂😂😂😂😂,Not-Hope
2162,Bahat achhi taraha se samjhaya aap ne . Thank you sir 🙏,Not-Hope
2287,Vo log Nhi h tumhari sooch zarur gadbad h 🤣,Hope
1009,Mere khayl se sabko equal rights Milne chahiye,Hope
360,Kiran johar chugliwala ko bhi ye karna chahiye,Not-Hope
2732,Homesex से वंश व्रद्धि कैसे होगी,Not-Hope
2274," @Dr Prashant Sagar  ap doctor ho?
phd wala?
apko dekh ke lgta h, india education has failed u.",Not-Hope
1391,Mentally mat bolo bimari mat bolo sir..use correct words,Hope
3010,@Deepak_Malik 🖒🖒🖒,Not-Hope
1447,खैर यह तब तक कुछ भी नहीं है जब तक आप परिभाषित नहीं करते कि इस शब्द से आपका क्या मतलब है। मुझे लगता है कि यह एक विशिष्ट कठबोली है जो लोगों को दृष्टिकोण या शारीरिक उपस्थिति के लिए चिढ़ाती है जो उन्हें उनके लिंग से थोड़ा विपरीत दिखाती है।,Hope
2298,"well kisi ne shi hi kha h adha adhura gyan hanikarak hota h ab inhe hi dekh lo 
1.Mtlb homosexuals ke under sirf gay aur lesbians aate hein not bisexuals transgenders and intersex
2.Intersex pe dono genitals nhi hote hein unki body female ya male ki body ki definition mein fit nhi hoti h isiliye inhe intersex kehte hein 
3.Chakka is a derogatory term DON'T EVER USE IT.
4. And ye sb kisi trh ki disease nhi hoti sirf tum sbka queerphobia h",Hope
344, @Savage Diva  chalbe kam kr,Not-Hope
986,सरजी। होमोसैक्सुअल होने के दो फायदे हैं एक तो आनर किलिंग नहीं होती और दूसरा ये कि हमारे लिंगानुपात की कमी को को पूरा करता है ।😄😄😄😄😄😄😄😄😄😄,Not-Hope
2659,Tom girl bhi hoti hai kya sir????,Not-Hope
2335,"I think samaj me sab se jyada sankhya bisexual people ki hoti hai, lekin society k dar se sachai koi apne muh se nahi batata, ki vo khud kya hai 😊😊😊😊😊😊",Hope
2810,Tera bap vi bi sexual he pata karke dekh...,Not-Hope
2250,Tin talak 3 bar talak talak muh se bol de diya jata pka mana jata he,Not-Hope
113,Yes I said thank you very much Allah Sabki Pasand Karenge,Not-Hope
2697,"Sir kya gay bacha paida ker Sakta hi, please reply",Not-Hope
1142,Homo sexual ek dusre ko kaise pahchante hai,Not-Hope
2958,Sir ji ye kinner q or kaise paida hote hein,Not-Hope
1216,Shi bt h sir apke trh hr insan ki soch hota kaash,Hope
1198,sir aap neet ke liye padhate ho kya,Not-Hope
85,कलियुग है,Not-Hope
2209,Sir inter sex me bachha paid a Ho sakta he.....,Not-Hope
668,Ye refujee ladki Pakistan se bhage hue log Kitni gandgi faila rakhi h inhone India me,Not-Hope
1014,"ha aap shi hai, but reaserch papers ne btaya hai ki ham monogamist (ek sathi) nhi hai
ham any jivo se alag nahin hain yadi aap ise is tarah se deke ki  pyar sirph ek samajik nirman hai, ek vyakti jo lgatar aapke aas-pas ho usse lgav ho jata hai
jo kisi bhi vyakti ke lie kabhi bhi bdal skta hai..hme jivan  me1 se adhik logo se  pyaar ho jata hai, ryt?...aapko kya lgta hai?",Not-Hope
128, @patel praful  pata hai mera bhi 4 yrs long time relationship thha pehle phir maine break up kr liya Kyoki woh gay nhi bisexual thha aur uski shaadi ho chuki thhi isiliye ab gay BF dhundha hai jise ladkion me bilkul interest na ho aur ye meri age ka hee hai mere ghar ke paas hee rehta hai aur mujhse bohot jyada pyaar karta hai hum Humara education hone ke baad ek hee city me job dekhenge khi dur aur saath me hee rahenge,Not-Hope
2538,What is straight,Not-Hope
2924,Sex education web series dekho 😅,Not-Hope
891,13:43 Mumbai ki kran bedi,Not-Hope
2071,Bahut achhe tarike se samjhate hai sir aap...,Not-Hope
307,Mai bhi,Not-Hope
383, @ToWasim Ahmad  bhai उपर  waale ne jese diya hai na aapko शरीर wesahi rahna chahye नाकि लड़का से लड़की बन जाए और लड़की से लड़का  खेर apna apna soch hai  जय श्री राम🙏🙏,Not-Hope
150,This is called kalyug...,Not-Hope
2337,Godse rashtrawadi tha,Not-Hope
2913,Dam true,Not-Hope
426, @Karan Kumar  apna soch apne pash rkho acha ni bol skte ho to glt mt bolo sb ho hk h apne hisab se jine ka,Hope
494,I am gay diy👨‍❤️‍👨,Hope
1207,"हम भी गे है ...!
२३ वेर्स",Hope
1910,"For your kind information, homosexuality is also natural. Agar inko ye bhi Nahi pata to kya  padate honge ye Aapne students ko. Plz try to clear your facts Khan Sir. You are followed by many ppl so try to share authentic information...🙏",Hope
1811,"Sir inter sex vale ko bachha paida krne k liye partner ki jarurat BHI nhi padegi,",Not-Hope
1208,Sir hamare yha ak 35year ka gay h jo yuva students ko presan kart h   kya unke khilaf koi sarkari karyavahi nahi ki ja sakti (kiyuki Ager koi bura karta h to use saja milti h to inko bhi milti hogi sayad) 🇮🇳🇮🇳 please sir jankari de 🇮🇳🇮🇳,Hope
2599,Attract nhi ho raha to gadbad hai 😂,Not-Hope
2353,Sahi hai😂,Not-Hope
1239,Is there any lesbian lady is here because I am a lesbian too,Hope
1450,Intersex ki thoda details me samjhaiye plz,Not-Hope
1502,"Thx sir...for this
Sound thoda clear chahiye tha sir",Not-Hope
275, @U K  10 lac khrch kro bn jaoge,Not-Hope
489,Aache nHi lagi,Not-Hope
1397,maybe,Not-Hope
1229, @अनुराग चौधरी  .......karma,Not-Hope
690,Apka kaam sachme tareef k kaabil hai 👏or bhut inspire krta hai society k liye kuch krne ko 🙂,Not-Hope
2606,Tqqq so much sir ji 🙏🙏,Not-Hope
1831,"Tujhe janal kyu ho rahi 
Gay hai kaa",Not-Hope
1763,दोस्तों के साथ शेयर नहीं करूंगा इतने अच्छे टीचर थोड़े ही मिलते हैं आख़िर सबसे बड़ा कंपिटेशन उनके साथ होता है घर वाले कम नंबर आने पर दोस्त के साथ तुलना करके ताने मारते हैं इसलिए दोस्तो को तो एक भी वीडियो शेयर नहीं करूंगा पहले से sorry 😂😂😂🙏🙏,Not-Hope
1377,excuse me sir ek baat bta du apko agr aap logo ko samja rahe ho na ki kya diffrence han roh amjao but bimari word use na kro agr apko h nahi pta kuch toh aap kaise smjaoge logo ko lesbian gay hona koi peoblem ni yeh by birth h feelings hori han,Hope
2788,Lesbian me husband kon Aur wife kon,Not-Hope
2226,"Oh my god
Hum sahi salamat hai🙏🙏🙏",Not-Hope
1058,Sir aap etne bare teacher hoke 1:09 mai bol rhe hai larka larki ke tarf akrshit hota hai ya vices versa. Ye natural haii Or agar larka larke ke tarf akrshit hota hai to garbar haii.. Ye kya baat hua ... Ye v natural hi haii ....,Hope
118,Sab na apna kela 🍌jad sa kat diya 🤣🤣🤣,Not-Hope
1024,Agar kisi ek ladke ko sirf ek hee ladka accha lagee toh kya wo bhi gay hai yaa jise sab ladke acche lagte hai wo gay hai ?????,Not-Hope
1731," @neha khanna  App lesbian Ho kya,, isme kya hota h vese",Not-Hope
281,Sahi baat hai😂😂,Not-Hope
1729," @LIMITED GAMER  Mujhe to kuchh nahi hua, tujhe kya hua😁",Not-Hope
2517,"This is jai Hind
-->>🇮🇳🇮🇳🇮🇳",Not-Hope
968,Very beautiful dil hai sir aap jaisa sir ho to kisi ko kabhi gajan nahi hoga,Not-Hope
2451,Hinjra ka dudh bhi niklte h Kya ?,Not-Hope
2603,Sir  Transgender male ki trah dikhte h ya female,Not-Hope
1684,"भाई यहां पर फिर गलत जानकारी दे रहे हो...! यह मैंटली नहीं, शारीरिक परिवर्तन के कारण होता है। जब किसी लड़की में स्त्री हार्मोन्स की पुरुष हार्मोन बन जाते हैं तो वह लेस्बियन यानि समलैंगिक हो जाती है। ये स्थिति प्राकृतिक ही होती है। इस स्थिति में शरीर तो लड़की का ही होता है, लेकिन उसके अंदर सारे गुण लड़कों वाले होते हैं। मतलब ऐसी स्थिति में लड़की के रूप में एक लड़का होता है। सेम यही स्थिति लड़कों के साथ भी होती है। शरीर लड़के का होगा लेकिन अंदर से वह लड़की का शरीर होता है। उनको तब ऐसा लगता है कि हम लड़की हैं लेकिन हमें जबरदस्ती लड़के के शरीर में ठूंस दिया गया है।",Hope
2560,Gay wali gun...best dialogue 😂,Not-Hope
155,Check kar k shaadi karo market me nakli samaan bik raha hai.,Not-Hope
304,Sabse sunday transgender hai khushi sheikh from India,Hope
3081,Sir ek sal ke bachhe ke nabhi se pila pij nikal Jata hai uske bare me Bata dijiega  sir ham padhte nahi hai lekin aapka Sabhi video dekhte hai jab se apka video dekhna Suru kiye hai bahut jankari Mila hai film dekhna bhi an bhul gaye aap bahut achha padhte hai 7654183752,Not-Hope
2726,Very good explainrd,Not-Hope
1572,Aap mast ho no tandan🙏🙏🙏🙏🙏,Not-Hope
1744,Wrongly explained...wrong choice of words..like mentally bimari and all ..these are biological changes in the body and its completely normal...jitna ratio pehle tha utna hi aaj bhi hai bas aaj highlight jyada hota hai qki awareness jyada hoti h..or reachability bhi jyada hai..mentally kuch nai h iska lena dena,Hope
2396,Sub clear ho gya aaj... thanks u so much sir...,Not-Hope
2230,Hamari tution me ek sir ladki ko poori class me bola kar ta tha tu ladke ki aur dekh ke hasti hai,Not-Hope
575,Ismey stupid kya hai shubham bhai.,Not-Hope
2099,Transgender smjh nhi aaya sir 😕,Not-Hope
3167,"Agar ho sake to krapya jankari de bahut mehervani hogi.
Thank you sir",Not-Hope
2802,बिहार को फ़िर से चाणक्य मिल गए हैं बस sir ji 🙏🙏 आप इस्लाम धर्म के अनुसार नहीं चलिएगा 🙏🙏❤️,Not-Hope
1709, @neha khanna  ji kis bat ko lekar ye bol rahe ho muje kus smj nhi aaya,Not-Hope
1947, @SOURABH 585  acha h,Not-Hope
1483,Sir mera question hai ki jo intersex hota hai unke boobs hote hai ya nhi,Not-Hope
843,Sir aapka samjane kat tarika bahut sidha hai bahut achche hai,Not-Hope
1457,Kese ho aandsir,Not-Hope
269, @Sandeep Kumar  nahi bhai vo gay nahi hai. vo bas makeup esa karwata hai😂,Not-Hope
629,Itni important baat hai ye or mem ne english me bola ke sara gyan sirf kuchh logo tak chod diya,Not-Hope
1033,Sir pensexul vi toh hote hai na,Not-Hope
286, @Sabita Hansda  thik hai par aapko kaise pta ki vo gay ni tha or kya pta use hmesha felling ho ki vo ek ldki ho uske purane vlog dekho or itna bada kaam apna gender change karna vo bhi aise society se koi famous hone ke liye to ni karega Shayad,Not-Hope
2367,Ni hota hai,Not-Hope
300,Sab gaandu hai saale,Not-Hope
